latitude	longitude	cp_id_str	Power_kW	connector_id	session_count
55.875461	-4.293008	60149	7	2.0	164
55.875461	-4.293008	60150	7	1.0	144
55.875461	-4.293008	60150	7	2.0	132
55.875563	-4.290936	51348	22	1.0	54
55.875563	-4.290936	51348	22	2.0	68
55.876276	-4.363464	50595	7	1.0	60
55.876276	-4.363464	50595	7	2.0	58
55.876276	-4.363464	50596	7	1.0	162
55.876276	-4.363464	50596	7	2.0	126
55.876276	-4.363464	52011	7	1.0	342
55.876276	-4.363464	52011	7	2.0	286
55.876276	-4.363464	52012	7	1.0	194
55.876276	-4.363464	52012	7	2.0	310
55.876276	-4.363464	52013	7	1.0	288
55.876276	-4.363464	52013	7	2.0	346
55.876276	-4.363464	52014	7	1.0	328
55.876276	-4.363464	52014	7	2.0	294
55.876276	-4.363464	52015	7	1.0	150
55.876276	-4.363464	52015	7	2.0	144
55.876276	-4.363464	52016	7	1.0	106
55.876276	-4.363464	52016	7	2.0	308
55.878092	-4.312333	51682	22	1.0	148
55.878092	-4.312333	51682	22	2.0	120
55.878099	-4.305746	52087	22	1.0	46
55.878099	-4.305746	52087	22	2.0	38
55.878099	-4.305746	52088	22	1.0	96
55.878099	-4.305746	52088	22	2.0	48
55.878495	-4.270421	51570	22	1.0	44
55.878495	-4.270421	51570	22	2.0	54
55.87945	-4.284402	60921	22	1.0	244
55.87945	-4.284402	60921	22	2.0	174
55.881212	-4.338884	50535	7	1.0	64
55.881212	-4.338884	50535	7	2.0	54
55.881212	-4.338884	60263	7	1.0	104
55.881212	-4.338884	60263	7	2.0	80
55.881212	-4.338884	60264	7	1.0	56
55.881212	-4.338884	60264	7	2.0	58
55.881212	-4.338884	60265	22	1.0	100
55.881212	-4.338884	60265	22	2.0	134
55.881212	-4.338884	60266	22	1.0	62
55.881212	-4.338884	60266	22	2.0	118
55.885857	-4.168255	52426	7	1.0	28
55.885857	-4.168255	52426	7	2.0	60
55.885857	-4.168255	52427	7	1.0	6
55.885857	-4.168255	52427	7	2.0	12
55.885857	-4.168255	52428	7	1.0	16
55.885857	-4.168255	52428	7	2.0	8
55.885857	-4.168255	52429	7	1.0	18
55.885857	-4.168255	52429	7	2.0	24
55.885857	-4.168255	52430	44	1.0	224
55.885857	-4.168255	52430	44	2.0	30
55.885857	-4.168255	52430	44	3.0	3
55.885857	-4.168255	52430	52	1.0	448
55.885857	-4.168255	52430	52	2.0	60
55.885857	-4.168255	52430	52	3.0	6
55.886025	-4.319169	51262	22	1.0	8
55.886025	-4.319169	51262	22	2.0	10
55.889146	-4.356922	60119	7	1.0	38
55.889146	-4.356922	60119	7	2.0	42
55.889146	-4.356922	60120	7	1.0	24
55.889146	-4.356922	60120	7	2.0	26
55.889146	-4.356922	60121	7	1.0	26
55.889146	-4.356922	60121	7	2.0	18
55.892596	-4.349902	60242	22	1.0	62
55.892596	-4.349902	60242	22	2.0	44
55.894575	-4.34935	52084	22	1.0	50
55.894575	-4.34935	52084	22	2.0	52
55.894575	-4.34935	52085	22	1.0	66
55.894575	-4.34935	52085	22	2.0	40
55.894575	-4.34935	52086	22	1.0	58
55.894575	-4.34935	52086	22	2.0	72
55.897763	-4.332954	60122	7	1.0	34
55.897763	-4.332954	60122	7	2.0	48
55.897763	-4.332954	60123	7	1.0	30
55.897763	-4.332954	60123	7	2.0	50
55.897763	-4.332954	60124	7	1.0	40
55.897763	-4.332954	60124	7	2.0	38
55.898563	-4.21428	52170	22	1.0	96
55.898563	-4.21428	52170	22	2.0	116
55.901137	-4.312744	51009	7	1.0	16
55.901137	-4.312744	51009	7	2.0	10
55.901757	-4.242377	60244	22	1.0	74
55.901757	-4.242377	60244	22	2.0	60
55.905133	-4.307207	52007	22	1.0	4
55.905133	-4.307207	52007	22	2.0	10
55.911129	-4.367729	60243	22	1.0	4
55.911129	-4.367729	60243	22	2.0	16
55.919887	-4.332619	61420	22	1.0	98
55.919887	-4.332619	61420	22	2.0	112
55.934225	-4.690273	53085	22	1.0	8
55.934225	-4.690273	53085	22	2.0	12
55.934225	-4.690273	53086	22	1.0	30
55.934225	-4.690273	53086	22	2.0	24
55.937166	-4.214129	52366	22	1.0	18
55.937166	-4.214129	52366	22	2.0	28
55.950445	-4.326432	52171	22	1.0	28
55.950445	-4.326432	52171	22	2.0	36
55.951394	-4.760478	51624	22	1.0	26
55.951394	-4.760478	51624	22	2.0	52
55.952928	-4.083395	52370	22	1.0	32
55.952928	-4.083395	52370	22	2.0	58
55.977434	-4.051279	53268	7	1.0	98
55.977434	-4.051279	53268	7	2.0	50
55.977434	-4.051279	53269	7	1.0	58
55.977434	-4.051279	53269	7	2.0	94
56.045042	-4.37243	52264	22	1.0	60
56.045042	-4.37243	52264	22	2.0	50
56.045042	-4.37243	52265	22	1.0	44
56.045042	-4.37243	52265	22	2.0	54
